District,Special Election Margin,Clinton Margin,Swing from Clinton,Obama Margin ('12),Swing from Obama
CT SD-02,47.26,69.75,-22.49,71.43,-24.17
VA HD-85,-5.79,-0.55,-5.24,-0.260000000000005,-5.53
GA-06,-3.6,-1.49,-2.11000000000001,-23.38,19.78
NH HD Hillsborough 44,-10.14,-8.43,-1.71,-2.75,-7.39
NY SD-30,88.57,89.71,-0.81,91.48,-2.58
GA SD-32,-13.96,-14.07,0.11000000000001,-35.19,21.23
VA SD-22,-13.49,-14.25,0.76,-8.72,-4.77
SC HD-48,-21.38,-24.28,2.9,-26.86,5.48
DE SD-10,17.39,13,4.39,18.72,-1.33
CT SD-32,-10,-18.65,9.05,-12.33,2.73
CT HD-115,28.7,18.69,10.01,39.35,-10.65
NH SD-16,10.7,0.32,10.38,-1.07,11.77
NH HD Carroll 6,3.58000000000001,-7.18,10.76,-12.73,16.31
TN HD-95,-27.2,-39,11.8,-52.44,25.24
SC HD-70,56.22,42.91,13.31,48.73,7.49
SC HD-84,-20.6,-33.99,13.39,-29.43,8.83000000000001
MT-AL,-5.59,-20.24,14.65,-13.64,8.05
SC-05,-3.23,-18.48,15.25,-11.48,8.25000000000001
KS-04,-6.21,-27.2,20.99,-25.5,19.29
MN HD-32B,-6.49,-29.19,22.7,-12.09,5.59999999999999
OK HD-75,4.68,-21.93,26.61,-27.1,31.78
OK SD-44,9.14,-18.62,27.76,-21.72,30.86
IA SD-45,47.85,16.58,31.27,36.79,11.06
IA HD-89,45.23,11.61,33.62,27.42,17.81
NH HD Merrimack 18,55.2,21.47,33.73,23.26,31.94
NY AD-09,15.96,-23.09,39.05,-12.1,28.06
OK HD-28,-2.32000000000001,-50,47.68,-37.42,35.1
